"date","fips","state","cases","deaths","State.of.emergency","Date.closed.K.12.schools","Closed.day.cares","Date.banned.visitors.to.nursing.homes","Stay.at.home..shelter.in.place","End.relax.stay.at.home.shelter.in.place","Closed.non.essential.businesses","Reopen.businesses","Religious.Gatherings.Exempt.Without.Clear.Social.Distance.Mandate.","Mandate.face.mask.use.by.all.individuals.in.public.spaces","Mandate.face.mask.use.by.employees.in.essential.businesses","Alcohol.Liquor.Stores.Open","Keep.Firearms.Sellers.Open","Closed.restaurants.except.take.out","Reopen.restaurants","Closed.gyms","Repened.gyms","Closed.movie.theaters","Reopened.movie.theaters","Stop.Initiation.of.Evictions.overall.or.due.to.COVID.related.issues","Stop.enforcement.of.evictions.overall.or.due.to.COVID.related.issues","Renter.grace.period.or.use.of.security.deposit.to.pay.rent","Order.freezing.utility.shut.offs","Froze.mortgage.payments","Modify.Medicaid.requirements.with.1135.waivers..date.of.CMS.approval.","Reopened.ACA.enrollment.using.a.special.enrollment.period","Suspended.elective.medical.dental.procedures","Resumed.elective.medical.procedures","Waived.one.week.waiting.period.for.unemployment.insurance","Waive.work.search.requirement.for.unemployment.insurance","Expand.eligibility.of.unemployment.insurance.to.anyonewho.is.quarantined.and.or.taking.care.of.someone.who.is.quarantined","Expand.eligibility.of.unemployment.insurance.to.those.who.have.lost.childcare.school.closures","Extend.the.amount.of.time.an.individual.can.be.on.unemployment.insurance","Paid.sick.leave","Population.density.per.square.miles","Population.2018","Square.Miles","Number.Homeless..2019.","Percent.Unemployed..2018.","Percent.living.under.the.federal.poverty.line..2018.","Percent.at.risk.for.serious.illness.due.to.COVID","All.cause.deaths.2016","positive","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered.ctp","hash","dateChecked","deaths.ctp","hospitalized","total","totalTestResults","posNeg","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","percentchangehours","percentchangebusinesses","ST","cases.nyt","deaths.nyt"
2020-03-23,37,"North Carolina",353,0,2020-03-10,2020-03-16,NA,2020-03-23,2020-03-30,NA,2020-03-30,NA,"1",NA,NA,1,1,2020-03-17,NA,2020-03-25,NA,2020-03-25,NA,NA,NA,NA,2020-03-19,NA,2020-03-23,"0",NA,NA,2020-03-17,1,1,0,0,"0",192.94,10383620,53819,"9,314","5","14","39","90,465",297,8141,NA,NA,NA,NA,NA,NA,NA,NA,"f498171c52256d450302d4d6e478d260e7d5b51d","2020-03-23T20:00:00Z",0,NA,8438,8438,8438,0,0,1958,42,2000,-32,-5,-17,-41,-33,14,-43,-30,"NC",303,0
2020-03-23,38,"North Dakota",30,0,2020-03-13,2020-03-16,NA,2020-04-06,NA,NA,NA,NA,"0",NA,NA,1,1,2020-03-20,2020-05-01,2020-03-20,2020-05-01,2020-03-20,2020-05-01,NA,NA,NA,NA,NA,2020-03-24,"0",NA,NA,2020-03-20,1,1,0,0,"0",10.75,760077,70698,"557","2.8","10.7","34.6","6,242",30,1353,NA,NA,4,NA,NA,NA,NA,NA,"b45813a4a0e083874a405d5ffb64d2944abf2d5f","2020-03-23T20:00:00Z",0,4,1383,1383,1383,0,1,93,2,95,-37,-6,19,-24,-27,13,-35,-20,"ND",32,0
2020-03-23,39,"Ohio",443,6,2020-03-09,2020-03-17,2020-03-26,2020-03-11,2020-03-24,NA,2020-03-24,2020-05-04,"0",NA,NA,1,1,2020-03-15,NA,2020-03-17,NA,2020-03-17,NA,NA,NA,NA,2020-03-13,NA,2020-04-22,"0",2020-03-18,2020-05-01,2020-03-16,0,1,0,0,"0",260.77,11689442,44826,"10,345","4.9","13.9","39.8","119,572",442,140,NA,NA,104,NA,NA,NA,NA,NA,"8966d12c492b67747a0413f8a0fb4ee97bc8b1d6","2020-03-23T20:00:00Z",6,104,582,582,582,3,21,0,91,91,-33,-1,-2,-26,-39,16,-47,-36,"OH",444,6
2020-03-23,4,"Arizona",235,2,2020-03-11,2020-03-16,NA,NA,2020-03-31,NA,2020-03-30,NA,"1",NA,NA,1,1,2020-03-20,NA,2020-03-20,NA,2020-03-20,NA,NA,2020-03-24,NA,NA,NA,2020-03-23,"0",2020-03-21,2020-05-01,2020-03-18,1,1,1,0,"1",62.91,7171646,113990,"10,007","5.4","14","39.1","56,645",265,309,6,NA,NA,NA,NA,NA,NA,NA,"14d6aadf353c2d7f46fa679d1eef562ab766560e","2020-03-23T20:00:00Z",2,NA,580,574,574,0,0,27,113,140,-31,-10,-3,-33,-37,13,-39,-26,"AZ",234,2
2020-03-23,40,"Oklahoma",81,2,2020-03-15,2020-03-17,NA,2020-03-16,NA,NA,2020-04-01,2020-04-24,"0",NA,NA,1,1,2020-04-01,2020-05-01,2020-04-01,2020-05-01,2020-04-01,2020-05-01,NA,NA,NA,NA,NA,2020-03-24,"0",2020-03-24,2020-04-24,2020-03-21,1,0,0,0,"0",56.41,3943079,69899,"3,944","4.4","15.6","40.8","39,276",81,694,102,NA,15,NA,NA,NA,NA,NA,"06988832908c4bd0101aa70897aaa31f44bf1f07","2020-03-23T20:00:00Z",2,15,877,775,775,0,4,25,14,39,-28,-4,-1,-17,-31,13,-29,-22,"OK",81,2
2020-03-23,41,"Oregon",191,5,2020-03-08,2020-03-16,2020-03-25,NA,2020-03-23,NA,NA,NA,"0",NA,NA,1,1,2020-03-17,NA,2020-03-24,NA,2020-03-24,NA,2020-04-01,2020-03-22,NA,NA,NA,2020-03-25,"0",2020-03-18,2020-05-01,NA,1,1,1,0,"1",42.6,4190713,98379,"15,876","5","12.6","39.8","35,778",191,3649,NA,NA,56,NA,NA,NA,NA,NA,"d32dc80aee60746bbda8cd2ded2558efd103b76d","2020-03-23T20:00:00Z",5,56,3840,3840,3840,1,13,785,30,815,-38,-11,-5,-40,-41,15,-50,-42,"OR",191,5
2020-03-23,42,"Pennsylvania",698,6,2020-03-06,2020-03-16,2020-03-17,2020-03-17,2020-04-01,NA,2020-03-19,NA,"1",2020-04-19,2020-04-19,1,1,2020-03-17,NA,2020-03-19,NA,2020-03-19,NA,2020-03-18,2020-03-18,NA,2020-03-13,NA,2020-03-27,"0",2020-03-20,2020-04-27,2020-03-27,1,1,0,0,"0",278.09,12807060,46054,"13,199","4.9","12.2","39.8","133,040",644,6595,NA,NA,NA,NA,NA,NA,NA,NA,"f34848bd60ba259abd8ba905bbf1a2edc2e450da","2020-03-23T20:00:00Z",6,NA,7239,7239,7239,4,0,1631,165,1796,-50,-25,-53,-58,-50,21,-60,-48,"PA",644,6
2020-03-23,44,"Rhode Island",106,0,2020-03-09,2020-03-16,2020-03-16,2020-03-13,2020-03-28,NA,2020-03-30,NA,"0",2020-04-18,2020-04-18,1,1,2020-03-17,NA,2020-03-23,NA,2020-03-23,NA,2020-03-19,NA,NA,2020-03-16,NA,2020-03-25,"3/14/2020",NA,NA,2020-03-08,0,1,1,0,"1",684.35,1057315,1545,"1,055","5.5","12.9","38.3","9,735",106,1143,216,NA,NA,NA,NA,NA,NA,NA,"e756bdb973c135644d91e1f1cd4a9f53467e0375","2020-03-23T20:00:00Z",NA,NA,1465,1249,1249,0,0,211,23,234,-42,-17,-22,-59,-40,18,-47,-36,"RI",106,0
2020-03-23,45,"South Carolina",298,5,2020-03-13,2020-03-16,NA,2020-03-15,2020-04-07,NA,2020-04-01,2020-04-20,"0",NA,NA,1,1,2020-03-18,NA,2020-04-01,NA,2020-04-01,NA,2020-03-17,NA,NA,2020-03-18,NA,2020-03-30,"0",NA,NA,2020-03-19,1,0,0,0,"0",158.78,5084127,32020,"4,172","5.3","15.3","41.4","48,130",298,1466,NA,NA,NA,NA,NA,NA,NA,NA,"6065c53119b350f0a5abc09e33240e8344459d65","2020-03-23T20:00:00Z",5,NA,1764,1764,1764,2,0,0,103,103,-34,-7,-21,-25,-30,13,-38,-26,"SC",299,5
2020-03-23,46,"South Dakota",28,1,2020-03-13,2020-03-16,NA,NA,NA,NA,NA,NA,"0",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-03-24,"0",2020-03-23,NA,NA,1,1,1,0,"0",11.44,882235,77116,"995","3","13.1","35.3","7,845",28,762,265,NA,NA,NA,NA,NA,NA,NA,"042646860048b05f38e0717c8322ccb5dcf0a33e","2020-03-23T20:00:00Z",1,NA,1055,790,790,0,0,22,7,29,-23,6,47,-17,-23,11,-14,-15,"SD",28,1
2020-03-23,47,"Tennessee",614,2,2020-03-12,2020-03-20,NA,2020-03-23,2020-04-02,NA,2020-04-01,NA,"1",NA,NA,1,1,2020-03-23,NA,2020-03-23,NA,2020-03-23,NA,NA,NA,NA,2020-03-31,NA,2020-03-30,"0",2020-03-24,2020-05-01,2020-03-19,1,1,1,0,"0",160.64,6770010,42144,"7467","5.5","15.3","41.6","67,857",615,3272,NA,NA,NA,NA,NA,NA,NA,NA,"2c5ac2c1a6353ca8ed3b942a6580e298e333a7ff","2020-03-23T20:00:00Z",2,NA,3887,3887,3887,2,0,0,110,110,-32,-2,-16,-27,-34,15,-44,-26,"TN",522,2
2020-03-23,48,"Texas",758,9,2020-03-13,2020-03-23,NA,2020-03-21,NA,2020-04-27,2020-03-31,NA,"1",NA,NA,1,1,2020-03-21,2020-05-01,2020-03-21,NA,2020-03-31,2020-05-01,NA,2020-03-19,NA,2020-03-26,NA,2020-03-30,"0",2020-03-22,2020-04-21,2020-03-17,1,1,0,0,"0",106.86,28701845,268596,"25,848","4.9","14.9","34.8","191,966",352,9703,NA,NA,NA,NA,NA,NA,NA,NA,"b8898c676a614ee7ce5cba28465922cb7b1b025e","2020-03-23T20:00:00Z",8,NA,10055,10055,10055,3,0,1281,18,1299,-31,-4,-14,-34,-36,15,-40,-29,"TX",728,7
2020-03-23,49,"Utah",257,1,2020-03-06,2020-03-16,NA,2020-04-01,NA,NA,NA,NA,"0",NA,NA,1,1,2020-03-19,2020-05-01,NA,2020-05-01,NA,2020-05-01,NA,2020-04-01,NA,NA,NA,2020-04-10,"0",2020-03-25,2020-04-22,NA,0,1,0,0,"0",37.23,3161105,84897,"2,798","3.2","9","30","17,913",257,4790,NA,NA,NA,NA,NA,NA,NA,NA,"1c0d56f6022578f0b588db0251a1c880d278c1c8","2020-03-23T20:00:00Z",1,NA,5047,5047,5047,0,0,1282,76,1358,-31,-2,19,-37,-39,15,-25,-19,"UT",257,1
2020-03-23,5,"Arkansas",192,0,2020-03-11,2020-03-17,NA,2020-03-13,NA,NA,NA,NA,"0",NA,NA,1,1,2020-03-19,NA,2020-03-20,NA,NA,NA,NA,NA,NA,2020-04-10,NA,2020-04-02,"0",2020-04-03,2020-04-27,2020-03-17,1,1,0,0,"0",56.67,3013825,53179,"2,717","4.5","17.2","43.5","31,756",174,906,NA,13,NA,NA,NA,NA,NA,NA,"71896654761ce8d7ad037266afe060c7c3aca297","2020-03-23T20:00:00Z",0,NA,1080,1080,1080,0,0,195,9,204,-29,-7,17,-18,-32,13,-46,-27,"AR",201,0
2020-03-23,50,"Vermont",75,5,2020-03-13,2020-03-18,2020-03-18,2020-03-13,2020-03-25,NA,2020-03-25,2020-04-27,"0",NA,2020-04-17,1,1,2020-03-17,NA,2020-03-23,NA,2020-03-25,NA,NA,NA,NA,2020-03-27,NA,2020-03-30,"3/20/2020",2020-03-20,NA,2020-03-13,1,1,1,0,"1",65.13,626299,9616,"1,089","3.8","11","39.1","5,909",75,1106,NA,NA,NA,NA,NA,NA,NA,NA,"72af0f2c9c2f632f233a942199d61c606b68fd90","2020-03-23T20:00:00Z",5,NA,1181,1181,1181,3,0,0,23,23,-44,-23,-28,-46,-43,17,-53,-34,"VT",75,2
2020-03-23,51,"Virginia",254,6,2020-03-12,2020-03-16,NA,NA,2020-03-30,NA,NA,NA,"0",NA,NA,1,1,2020-03-25,NA,2020-03-25,NA,2020-03-25,NA,NA,NA,NA,2020-03-16,NA,2020-03-23,"0",2020-03-25,2020-05-01,2020-03-17,1,1,1,0,"0",199.13,8517685,42775,"5,783","4.2","10.7","35.9","66,473",254,3443,NA,NA,38,NA,NA,NA,NA,NA,"f04ccf03a897d757c0d98d7b10c12edb59dbbc33","2020-03-23T20:00:00Z",6,38,3697,3697,3697,3,6,325,35,360,-34,-10,-29,-49,-40,19,-42,-29,"VA",254,6
2020-03-23,53,"Washington",2221,109,2020-02-29,2020-03-17,NA,2020-03-16,2020-03-23,NA,2020-03-25,NA,"0",NA,NA,1,0,2020-03-16,NA,2020-03-16,NA,2020-03-16,NA,2020-03-18,2020-03-18,NA,2020-03-18,NA,2020-03-19,"3/10/2020",2020-03-19,2020-04-29,2020-03-18,1,1,0,0,"1",105.69,7535591,71298,"21577","4.3","10.3","35.1","54,769",2496,48492,NA,NA,NA,NA,NA,NA,NA,NA,"c569e736b5f462b779b02176a2fad6942cd2a19c","2020-03-23T20:00:00Z",137,NA,50988,50988,50988,11,0,4852,212,5064,-36,-9,-4,-50,-44,17,-42,-37,"WA",2101,110
2020-03-23,54,"West Virginia",16,0,2020-03-16,2020-03-16,2020-03-26,NA,2020-03-24,NA,2020-03-24,NA,"1",NA,NA,1,1,2020-03-18,NA,2020-03-19,NA,2020-03-24,NA,NA,NA,NA,NA,NA,2020-03-30,"0",2020-04-01,2020-04-20,2020-03-19,1,1,0,0,"0",74.53,1805832,24230,"1,397","5.8","17.8","49.3","22,732",16,444,4,NA,1,NA,NA,NA,NA,NA,"93a7366dbdbbe8314dac0702465b28a583e20467","2020-03-23T20:00:00Z",0,1,464,460,460,0,0,59,4,63,-34,-5,-22,-25,-33,14,-52,-42,"WV",16,0
2020-03-23,55,"Wisconsin",425,5,2020-03-12,2020-03-19,NA,NA,2020-03-25,NA,2020-03-25,NA,"0",NA,NA,1,1,2020-03-17,NA,2020-03-25,NA,2020-03-25,NA,2020-03-27,2020-03-27,NA,2020-03-22,NA,2020-04-20,"0",NA,NA,NA,1,1,1,0,"0",88.76,5813568,65496,"4,538","3.2","11","36.5","51,815",416,7050,NA,NA,NA,NA,NA,NA,NA,NA,"4d367dd2bdc949d101983f7dca73a29062b3f1f7","2020-03-23T20:00:00Z",5,NA,7466,7466,7466,1,0,820,31,851,-36,-4,25,-34,-36,16,-35,-33,"WI",418,5
2020-03-23,56,"Wyoming",26,0,2020-03-13,2020-03-19,2020-03-19,NA,NA,NA,NA,2020-04-28,"0",NA,2020-05-01,1,1,2020-03-19,NA,2020-03-19,2020-04-28,2020-03-19,NA,NA,NA,NA,NA,NA,2020-03-27,"0",NA,NA,2020-01-01,1,0,0,0,"0",5.91,577737,97813,"548","3.9","11.1","36.4","4,722",26,592,NA,NA,NA,NA,NA,NA,NA,NA,"61e5cc96d0195daeb49d495e5abec3130fbb841f","2020-03-23T20:00:00Z",NA,NA,618,618,618,0,0,154,2,156,-28,3,33,-4,-30,11,-46,-19,"WY",28,0
2020-03-23,6,"California",2108,39,2020-03-04,NA,NA,NA,2020-03-19,NA,2020-03-19,NA,"0",NA,NA,1,0,2020-03-19,NA,2020-03-19,NA,2020-03-19,NA,2020-03-27,NA,NA,2020-04-02,NA,2020-03-23,"3/20/2020",2020-03-19,2020-04-22,2020-03-12,1,1,0,0,"1",241.65,39557045,163695,"151,278","5.5","12.8","33.3","262,240",1733,12567,12100,NA,NA,NA,NA,NA,NA,NA,"71c982ee815f7305f8cc4c93014774584620fa5f","2020-03-23T20:00:00Z",27,NA,26400,14300,14300,0,0,1263,197,1460,-41,-18,-28,-52,-49,21,-56,-44,"CA",2240,39
2020-03-23,66,"Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,161,NA,NA,NA,NA,NA,NA,NA,NA,"ce31ff4a54165054ac6f5f94f5fe0f449c7fa847","2020-03-23T20:00:00Z",1,NA,190,190,190,0,0,35,2,37,NA,NA,NA,NA,NA,NA,NA,NA,"GU",29,1
2020-03-23,72,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77,-64,"PR",31,2
2020-03-23,72,"Puerto Rico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,189,35,NA,NA,NA,NA,NA,NA,NA,"f11fb4d67e27feb9ecd7b591d6c96fd2073b15eb","2020-03-23T20:00:00Z",2,NA,255,220,220,2,0,6,8,14,NA,NA,NA,NA,NA,NA,NA,NA,"PR",31,2
2020-03-23,78,"Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6b742c14c76705483cc3fe5bb6aeb86828d935de","2020-03-23T20:00:00Z",NA,NA,17,17,17,0,0,0,11,11,NA,NA,NA,NA,NA,NA,NA,NA,"VI",17,0
2020-03-23,8,"Colorado",704,7,2020-03-11,2020-03-23,NA,2020-03-12,2020-03-26,2020-04-27,2020-03-26,2020-05-01,"1",NA,2020-04-23,1,1,2020-03-17,NA,2020-03-17,NA,2020-03-17,NA,NA,NA,NA,2020-03-20,NA,2020-03-26,"3/20/2020",2020-03-23,2020-04-27,2020-03-20,0,0,0,0,"0",54.72,5695564,104094,"9,619","3.9","9.6","31.3","37,530",591,4845,NA,74,58,NA,NA,NA,NA,NA,"6ed9e7b28dc4485bafe179736fb6e52983f505d3","2020-03-23T20:00:00Z",6,58,5436,5436,5436,1,9,770,116,886,-31,-4,18,-47,-41,16,-43,-31,"CO",721,10
2020-03-23,9,"Connecticut",415,10,2020-03-10,2020-03-17,NA,2020-03-09,NA,NA,2020-03-23,NA,"0",2020-04-20,2020-04-03,1,1,2020-03-16,NA,2020-03-16,NA,2020-03-16,NA,2020-04-10,2020-03-20,2020-04-10,2020-03-12,NA,2020-03-27,"3/19/2020",NA,NA,2020-01-01,1,0,1,0,"1",644.54,3572665,5543,"3,033","5.5","10.4","36","30,543",415,4085,NA,54,NA,NA,NA,NA,NA,NA,"d805e0c66ee0456c42148c9494eba857b18aec51","2020-03-23T20:00:00Z",10,NA,4500,4500,4500,5,0,1208,192,1400,-47,-24,-46,-53,-45,21,-63,-46,"CT",415,10
2020-03-24,1,"Alabama",242,0,2020-03-13,2020-03-18,2020-03-20,2020-03-19,2020-04-04,2020-04-30,2020-03-28,2020-04-30,"0",NA,NA,1,1,2020-03-19,NA,2020-03-28,NA,2020-03-28,NA,NA,2020-04-03,NA,NA,NA,2020-03-23,"0",2020-03-19,2020-04-30,2020-03-16,1,1,0,0,"0",93.24,4887871,52420,"3,261","5.6","16.8","43.1","52,466",215,2106,NA,NA,NA,NA,NA,NA,NA,NA,"c212a8468e01e67b91f78d053b0440276641d84f","2020-03-24T20:00:00Z",0,NA,2321,2321,2321,0,0,441,48,489,-32,-5,4,-18,-34,15,-46,-34,"AL",242,0
2020-03-24,10,"Delaware",104,0,2020-03-13,2020-03-16,2020-04-06,NA,2020-03-24,NA,2020-03-24,NA,"1",NA,NA,1,1,2020-03-16,NA,2020-03-19,NA,2020-03-19,NA,2020-03-24,2020-03-24,NA,2020-03-24,NA,2020-03-27,"0",NA,NA,NA,1,1,1,1,"0",388.58,967171,2489,"921","5.7","12.5","41.3","8,874",91,36,NA,NA,NA,NA,NA,NA,NA,NA,"87f8b0a23f5fb9719ce50fb40b83be4b7fd9b03b","2020-03-24T20:00:00Z",0,NA,127,127,127,0,0,0,23,23,-42,-22,24,-46,-44,18,-48,-41,"DE",104,0
2020-03-24,11,"District of Columbia",141,2,2020-03-11,2020-03-16,NA,NA,2020-04-01,NA,2020-03-25,NA,"0",2020-04-15,2020-04-15,1,0,2020-03-16,NA,2020-03-17,NA,2020-03-17,NA,NA,2020-03-15,NA,2020-03-17,NA,2020-04-03,"4/6/2020",NA,NA,NA,1,1,0,0,"1",11496.81,702455,61.1,"6521","7.5","16.2","31.8","5,037",137,1195,2,NA,NA,NA,NA,NA,NA,NA,"b0e3891c7034fd64b2031778208ec8934a5f2ddf","2020-03-24T20:00:00Z",2,NA,1334,1332,1332,0,0,82,21,103,-55,-24,-46,-71,-64,25,-72,-49,"DC",137,2
2020-03-24,12,"Florida",1412,18,2020-03-09,2020-03-17,NA,2020-03-15,2020-04-03,NA,NA,NA,"1",NA,NA,1,1,2020-03-20,NA,2020-03-20,NA,2020-03-20,NA,2020-04-02,2020-04-02,NA,NA,NA,2020-03-16,"0",2020-03-20,NA,2020-03-31,1,1,0,0,"0",323.9,21299325,65758,"28,328","5.2","13.6","42.1","197,313",1412,13127,1008,NA,259,NA,NA,NA,NA,NA,"01f224778b595c53a53b114c66966c5987214220","2020-03-24T20:00:00Z",18,259,15547,14539,14539,4,42,2064,241,2305,-38,-12,-33,-46,-39,16,-48,-37,"FL",1467,19
2020-03-24,13,"Georgia",1026,32,2020-03-14,2020-03-18,NA,2020-04-03,2020-04-03,2020-05-01,NA,2020-05-01,"0",NA,NA,1,1,2020-04-03,2020-04-27,2020-04-03,2020-04-24,2020-04-03,2020-04-27,NA,NA,NA,NA,NA,2020-04-01,"0",NA,2020-04-20,2020-01-01,1,1,1,1,"0",177.02,10519475,59425,"10,443","4.8","14.3","36.2","81,428",1026,4458,NA,NA,NA,NA,NA,NA,NA,NA,"837865a88d570829d28bd06b24a4d97e5e901ddb","2020-03-24T20:00:00Z",32,NA,5484,5484,5484,7,0,161,254,415,-35,-6,-23,-40,-41,18,-46,-35,"GA",1097,38
2020-03-24,15,"Hawaii",90,1,2020-03-04,2020-03-16,NA,2020-03-17,2020-03-25,NA,2020-03-25,NA,"0",2020-04-16,2020-04-16,1,1,2020-03-17,NA,NA,NA,2020-03-17,NA,2020-04-16,2020-03-17,NA,NA,NA,2020-03-26,"0",2020-04-16,NA,2020-03-16,1,0,1,0,"0",129.94,1420491,10932,"6,412","3.8","8.8","39.1","10,913",77,3589,NA,NA,4,NA,NA,NA,NA,NA,"c8688910d03a46dcdec0bba2338d32b386e8e7af","2020-03-24T20:00:00Z",NA,4,3666,3666,3666,0,4,634,21,655,-45,-22,-62,-50,-42,20,-62,-48,"HI",90,0
2020-03-24,16,"Idaho",81,0,2020-03-13,2020-03-23,NA,NA,2020-03-25,2020-05-01,2020-03-25,2020-05-01,"0",NA,NA,1,1,2020-03-25,NA,2020-03-25,NA,2020-03-25,NA,NA,NA,NA,NA,NA,2020-03-26,"0",NA,NA,2020-03-27,1,1,0,0,"0",20.99,1754208,83569,"2,315","4","11.8","36.2","13,366",50,1887,NA,NA,NA,NA,NA,NA,NA,NA,"027fc25af7fa5b80a0a2d8e1f588710a5a0b223f","2020-03-24T20:00:00Z",0,NA,1937,1937,1937,0,0,578,3,581,-26,0,40,-14,-36,13,-31,-20,"ID",73,0
2020-03-24,17,"Illinois",1537,16,2020-03-09,2020-03-17,2020-03-23,NA,2020-03-21,NA,2020-03-21,NA,"0",2020-05-01,2020-05-01,1,1,2020-03-16,NA,2020-03-21,NA,2020-03-21,NA,NA,2020-03-21,NA,2020-03-18,NA,2020-03-23,"0",NA,2020-05-11,2020-03-16,1,1,1,0,"0",220,12741080,57914,"10,199","5.5","12.1","36.2","107,020",1535,9934,NA,NA,NA,NA,NA,NA,NA,NA,"9c757789b4681fc36efffd962d3e75fb4ee6374f","2020-03-24T20:00:00Z",16,NA,11469,11469,11469,4,0,1351,262,1613,-47,-17,-11,-53,-50,22,-64,-50,"IL",1535,16
2020-03-24,18,"Indiana",368,12,2020-03-06,2020-03-19,NA,NA,2020-03-25,NA,2020-03-25,NA,"0",NA,NA,1,1,2020-03-16,NA,2020-03-24,NA,2020-03-25,NA,2020-03-19,NA,NA,2020-03-19,NA,2020-03-25,"0",2020-03-16,2020-04-27,2020-03-26,1,1,1,0,"0",183.74,6691878,36420,"5,471","4.4","13.1","39.9","63,473",365,2566,NA,NA,1,NA,NA,NA,NA,NA,"d20aff6badc212807b7cd5db58fc6d2b08795e49","2020-03-24T20:00:00Z",12,1,2931,2931,2931,5,0,865,106,971,-34,-2,11,-19,-39,16,-49,-37,"IN",366,12
2020-03-24,19,"Iowa",124,0,2020-03-09,2020-04-02,NA,NA,NA,NA,2020-03-26,NA,"0",NA,NA,1,1,2020-03-17,NA,2020-03-17,NA,2020-03-17,NA,2020-03-19,2020-03-19,NA,2020-03-27,NA,2020-03-25,"0",2020-03-27,2020-04-27,2020-01-01,1,1,1,0,"0",56.09,3156145,56273,"2,315","3.6","11.2","36.9","29,538",124,2315,NA,NA,27,NA,NA,NA,NA,NA,"7cc0fd2b921b97c1bfacb447011ac898b4781078","2020-03-24T20:00:00Z",NA,27,2439,2439,2439,0,27,272,19,291,-41,-5,53,-17,-36,16,-43,-36,"IA",124,1
2020-03-24,2,"Alaska",34,0,2020-03-11,2020-03-16,NA,NA,2020-03-28,NA,2020-03-28,2020-04-24,"0",NA,NA,1,1,2020-03-18,2020-04-24,2020-03-18,NA,2020-03-18,NA,2020-03-23,NA,NA,2020-04-09,NA,2020-04-02,"0",2020-03-19,2020-04-20,2020-03-26,1,1,1,0,"0",1.11,737438,665384,"1,907","6.8","10.9","32.8","4,494",36,986,NA,NA,0,NA,NA,NA,NA,NA,"08ee797011e15cf7528034c8de823ae36dcc4164","2020-03-24T20:00:00Z",0,0,1022,1022,1022,0,0,40,14,54,-37,-12,17,-39,-39,16,-43,-28,"AK",42,0
2020-03-24,20,"Kansas",100,2,2020-03-12,2020-03-17,NA,NA,2020-03-30,NA,NA,NA,"1",NA,NA,1,1,NA,NA,NA,NA,NA,NA,2020-03-23,NA,NA,2020-03-16,NA,2020-03-24,"0",NA,NA,2020-03-31,1,0,0,1,"0",35.39,2911505,82278,"2,381","3.8","12","38","26,245",98,2086,NA,NA,NA,NA,NA,NA,NA,NA,"282cc098a42c426e6cf2f9a0d3fcff306bfe1547","2020-03-24T20:00:00Z",2,NA,2184,2184,2184,0,0,1669,16,1685,-36,-7,46,-16,-38,17,-36,-28,"KS",99,3
2020-03-24,21,"Kentucky",162,4,2020-03-06,2020-03-16,2020-03-23,NA,NA,NA,2020-03-26,NA,"0",NA,NA,1,1,2020-03-16,NA,2020-03-18,NA,2020-03-18,NA,2020-04-01,2020-03-25,NA,2020-03-16,NA,2020-03-25,"0",2020-03-18,2020-05-06,2020-03-16,1,1,0,0,"0",110.58,4468402,40408,"4,079","5.2","16.9","43.6","47,827",124,1762,NA,NA,NA,NA,NA,NA,NA,NA,"7f736e70b653bb755683c7b68cb76e5e19b363de","2020-03-24T20:00:00Z",4,NA,1886,1886,1886,1,0,0,20,20,-39,-11,1,-25,-38,16,-47,-42,"KY",157,3
